Date : 2023-05-01 20:55:43
Directory : /home/brokendeer/桌面/mc2/magical-launcher
Total : 60 files,  30556 codes, 63 comments, 515 blanks, all 31134 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/newInstance/CreateNew.vue  | Vue                |         52 |          0 |          5 |         57 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/settings/Accessibility.vue | Vue                |         22 |          0 |          2 |         24 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/settings/Advance.vue       | Vue                |         32 |          0 |          5 |         37 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/settings/Appearance.vue    | Vue                |         18 |          0 |          4 |         22 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/settings/Download.vue      | Vue                |         18 |          1 |          3 |         22 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/settings/Extend.vue        | Vue                |         13 |          0 |          3 |         16 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/settings/Game.vue          | Vue                |         47 |          1 |          2 |         50 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/settings/General.vue       | Vue                |         23 |          0 |          3 |         26 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/utils/ConfigLoader.ts            | TypeScript         |          7 |          2 |          3 |         12 |
| /home/brokendeer/桌面/mc2/magical-launcher/tsconfig.app.json                    | JSON               |          4 |          9 |          0 |         13 |
| /home/brokendeer/桌面/mc2/magical-launcher/tsconfig.json                        | JSON with Comments |         14 |          0 |          1 |         15 |
| /home/brokendeer/桌面/mc2/magical-launcher/tsconfig.node.json                   | JSON               |          8 |          0 |          1 |          9 |
| /home/brokendeer/桌面/mc2/magical-launcher/tsconfig.vitest.json                 | JSON               |          9 |          0 |          1 |         10 |
| /home/brokendeer/桌面/mc2/magical-launcher/vite.config.ts                       | TypeScript         |         12 |          1 |          3 |         16 |
| /home/brokendeer/桌面/mc2/magical-launcher/vitest.config.ts                     | TypeScript         |         10 |          5 |          1 |         16 |
| /home/brokendeer/桌面/mc2/magical-launcher/vue.config.js                        | JavaScript         |         15 |          0 |          0 |         15 |
| Total                                                                         |                    |     30,556 |         63 |        515 |     31,134 |
+-------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
